article_length,num_sentences,avg_word_length,unique_entries,num_relations,relation_density,relation_density_per_sentence,precision,recall,f1,support
1194,13,4.863874345549738,11,22,0.018425460636515914,1.6923076923076923,0.3181818181818182,0.045454545454545456,0.07954545454545454,22.0
645,6,4.6,14,15,0.023255813953488372,2.5,0.0,0.0,0.0,18.0
936,6,4.56687898089172,5,6,0.00641025641025641,1.0,0.0,0.0,0.0,8.0
792,6,4.631578947368421,10,12,0.015151515151515152,2.0,0.0,0.0,0.0,13.0
691,6,4.40650406504065,12,16,0.023154848046309694,2.6666666666666665,0.11842105263157894,0.05263157894736842,0.0728744939271255,19.0
2094,16,5.294303797468355,8,9,0.004297994269340974,0.5625,0.0,0.0,0.0,10.0
1019,10,4.676300578034682,7,10,0.009813542688910697,1.0,0.0,0.0,0.0,12.0
1058,8,4.65934065934066,8,8,0.007561436672967864,1.0,0.0,0.0,0.0,10.0
685,8,4.6521739130434785,6,7,0.010218978102189781,0.875,0.0,0.0,0.0,10.0
2044,14,5.293929712460064,10,10,0.004892367906066536,0.7142857142857143,0.0,0.0,0.0,15.0
927,8,4.959183673469388,6,6,0.006472491909385114,0.75,0.0,0.0,0.0,9.0
764,8,4.6434108527131785,13,20,0.02617801047120419,2.5,0.0,0.0,0.0,23.0
1520,11,4.921810699588478,10,8,0.005263157894736842,0.7272727272727273,0.0,0.0,0.0,12.0
1024,11,5.1625,9,13,0.0126953125,1.1818181818181819,0.15555555555555553,0.06666666666666667,0.09333333333333334,15.0
741,9,4.915254237288136,10,15,0.020242914979757085,1.6666666666666667,0.0,0.0,0.0,17.0
794,3,5.008064516129032,4,3,0.003778337531486146,1.0,0.0,0.0,0.0,6.0
747,5,4.75206611570248,14,16,0.0214190093708166,3.2,0.0,0.0,0.0,17.0
1036,7,5.3949044585987265,9,15,0.01447876447876448,2.142857142857143,0.0,0.0,0.0,17.0
1017,17,4.344444444444444,9,9,0.008849557522123894,0.5294117647058824,0.0,0.0,0.0,13.0
677,6,4.35042735042735,12,14,0.0206794682422452,2.3333333333333335,0.0,0.0,0.0,15.0
829,2,5.6068376068376065,12,26,0.031363088057901084,13.0,0.0,0.0,0.0,31.0
903,4,5.661538461538462,6,6,0.006644518272425249,1.5,0.0,0.0,0.0,7.0
737,6,5.0,18,26,0.035278154681139755,4.333333333333333,0.14814814814814814,0.037037037037037035,0.05925925925925926,27.0
1103,12,5.0,7,8,0.007252946509519492,0.6666666666666666,0.0,0.0,0.0,11.0
859,11,5.12781954887218,15,17,0.01979045401629802,1.5454545454545454,0.0,0.0,0.0,19.0
1344,9,4.864485981308412,2,2,0.001488095238095238,0.2222222222222222,0.0,0.0,0.0,3.0
1036,13,4.963414634146342,7,5,0.004826254826254826,0.38461538461538464,0.0,0.0,0.0,6.0
861,8,4.81294964028777,9,8,0.009291521486643438,1.0,0.0,0.0,0.0,13.0
1922,14,5.156666666666666,12,14,0.007284079084287201,1.0,0.0,0.0,0.0,15.0
635,5,4.363636363636363,10,9,0.014173228346456693,1.8,0.0,0.0,0.0,10.0
